                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.26565,                0.30673,                 0.9053,                0.99657,                      1,                  0.995,                0.99425,                0.11126,                0.12528,                0.61864,              0.0001486,              0.0001486,              0.0001486
                     88,                0.24479,                0.28934,                 0.9017,                0.99678,                      1,                  0.995,                0.99425,                0.11677,                0.12829,                 0.6203,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.2569,                0.29417,                0.90504,                0.99676,                      1,                  0.995,                 0.9942,                0.11219,                0.13641,                0.61981,              0.0001288,              0.0001288,              0.0001288
                     90,                0.25074,                0.27378,                0.89635,                0.99628,                      1,                  0.995,                0.99423,                 0.1064,                0.13509,                0.61902,              0.0001189,              0.0001189,              0.0001189
                     91,                0.14152,                0.19387,                 0.8044,                0.99602,                      1,                  0.995,                  0.995,                0.10944,                0.13012,                0.61872,               0.000109,               0.000109,               0.000109
                     92,                 0.1318,                0.19086,                0.79808,                0.99652,                      1,                  0.995,                0.99429,                0.10887,                0.12492,                0.61918,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.13036,                0.18294,                0.80901,                0.99612,                      1,                  0.995,                0.99434,                0.11118,                  0.144,                0.61871,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 0.1253,                 0.1775,                0.78549,                0.99654,                      1,                  0.995,                  0.995,                 0.1134,                0.12859,                0.61707,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.12668,                 0.1704,                  0.795,                 0.9962,                      1,                  0.995,                0.99437,                0.10973,                0.13168,                0.61592,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.12645,                0.17989,                0.80499,                0.99623,                      1,                  0.995,                0.99347,                0.11096,                0.12197,                0.61744,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.12474,                0.18232,                0.79058,                0.99673,                      1,                  0.995,                 0.9943,                0.10643,                0.12048,                0.61659,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.12579,                0.17164,                0.80252,                0.99675,                      1,                  0.995,                0.99437,                0.10338,                0.12009,                0.61515,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.12019,                0.17322,                0.79064,                0.99672,                      1,                  0.995,                0.99438,                0.10131,                0.11917,                0.61438,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.11596,                0.16305,                0.78058,                 0.9968,                      1,                  0.995,                0.99438,                0.10161,                0.11478,                0.61402,               1.99e-05,               1.99e-05,               1.99e-05
